"","Base.Word","Level","Part.of.Speech","plurals.f.lemma"
"909","antique","B1","noun","antiques"
"910","apology","B1","noun","apologies"
"911","appearance","B1","noun","appearances"
"912","application","B1","noun","applications"
"913","architect","B1","noun","architects"
"914","architecture","B1","noun","architectures"
"915","area","B1","noun","areas"
"916","argument","B1","noun","arguments"
"917","arrangement","B1","noun","arrangements"
"918","arrival","B1","noun","arrivals"
"919","article","B1","noun","articles"
"920","aspirin","B1","noun","aspirins"
"921","assignment","B1","noun","assignments"
"922","assistant","B1","noun","assistants"
"923","athlete","B1","noun","athletes"
"924","atmosphere","B1","noun","atmospheres"
"925","attack","B1","noun","attacks"
"926","attention","B1","noun","attentions"
"927","attitude","B1","noun","attitudes"
"928","attraction","B1","noun","attractions"
"929","audience","B1","noun","audiences"
"930","author","B1","noun","authors"
"931","average","B1","noun","averages"
"932","babysitter","B1","noun","babysitters"
"933","backache","B1","noun","backaches"
"934","background","B1","noun","backgrounds"
"935","backpacker","B1","noun","backpackers"
"937","backyard","B1","noun","backyards"
"938","bacon","B1","noun","bacons"
"940","baker","B1","noun","bakers"
"941","balcony","B1","noun","balconies"
"942","barber","B1","noun","barbers"
"943","barbershop","B1","noun","barbershops"
"944","bargain","B1","noun","bargains"
"945","basket","B1","noun","baskets"
"946","bat","B1","noun","bats"
"947","bathtub","B1","noun","bathtubs"
"948","battle","B1","noun","battles"
"949","bay","B1","noun","bays"
"950","beauty","B1","noun","beauties"
"951","bee","B1","noun","bees"
"952","beef","B1","noun","beefs"
"953","behavior","B1","noun","behaviors"
"955","benefit","B1","noun","benefits"
"956","bike","B1","noun","bikes"
"957","bill","B1","noun","bills"
"958","biography","B1","noun","biographies"
"960","blog","B1","noun","blogs"
"961","blogger","B1","noun","bloggers"
"962","board","B1","noun","boards"
"963","body","B1","noun","bodies"
"966","book","B1","noun","books"
"967","border","B1","noun","borders"
"968","bottom","B1","noun","bottoms"
"970","brake","B1","noun","brakes"
"971","branch","B1","noun","branches"
"972","break","B1","noun","breaks"
"973","breast","B1","noun","breasts"
"975","breeze","B1","noun","breezes"
"977","broccoli","B1","noun","broccolis"
"978","brochure","B1","noun","brochures"
"979","bucket","B1","noun","buckets"
"980","bug","B1","noun","bugs"
"981","builder","B1","noun","builders"
"982","bulb","B1","noun","bulbs"
"983","bull","B1","noun","bulls"
"984","bunch","B1","noun","bunches"
"986","butcher","B1","noun","butchers"
"987","butterfly","B1","noun","butterflies"
"988","button","B1","noun","buttons"
"989","buyer","B1","noun","buyers"
"990","cab","B1","noun","cabs"
"991","cabbage","B1","noun","cabbages"
"994","cage","B1","noun","cages"
"995","calculator","B1","noun","calculators"
"997","call","B1","noun","calls"
