plurals.f.lemma,Base.Word,COUNT.Base.Word
episodes,episode,1
equals,equal,1
eras,era,1
errors,error,1
escalators,escalator,1
estates,estate,1
estimates,estimate,1
evidences,evidence,1
evils,evil,1
exceptions,exception,1
exhaustions,exhaustion,1
existences,existence,1
expansions,expansion,1
expectations,expectation,1
expenses,expense,1
explosions,explosion,1
exports,export,1
expressions,expression,1
extensions,extension,1
extents,extent,1
extracts,extract,1
eyebrows,eyebrow,1
eyelids,eyelid,1
facilities,facilities,1
factors,factor,1
failures,failure,1
faiths,faith,1
fates,fate,1
faults,fault,1
feathers,feather,1
features,feature,1
feedbacks,feedback,1
females,female,1
